Name,Price,Relative Price,Units,Supermarket,Link,Image
Lucky Saint Alcohol Free Lager 4x330ml Bottles,6.0,4.54,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/317993977,https://digitalcontent.api.tesco.com/v2/media/ghs/3d1522d9-f978-4817-af50-661d8364d1b0/31231bda-1f06-4c4d-94e9-ad8e087ca7e4_1152516801.jpeg?h=225&w=225
Muller Corner Strawberry Shortcake & Chocolate Digestive Yogurts 6 x 124g,4.0,5.4,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/311684019,https://digitalcontent.api.tesco.com/v2/media/ghs/2a20978a-0dd0-4e31-8041-ed3593bfdb8b/5cc51a35-b6f6-4127-968f-4dec6e28d872.jpeg?h=225&w=225
Muller Corner Vanilla & Banana Yogurts with Chocolate Balls & Flakes 6 x 124g,4.0,5.4,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/311937292,https://digitalcontent.api.tesco.com/v2/media/ghs/40df5222-6814-4b66-ad75-9204a723d193/48311490-a207-4785-9209-c6f193a72447.jpeg?h=225&w=225
Tesco British Salted Block Butter 250G,1.99,7.96,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/290920510,https://digitalcontent.api.tesco.com/v2/media/ghs/b984de55-155d-4a50-a0e8-53c98f846e0b/1d883d19-ee47-4533-ad14-a383bab45132.jpeg?h=225&w=225
Tesco British Unsalted Butter 250G,1.99,7.96,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/290921181,https://digitalcontent.api.tesco.com/v2/media/ghs/f8390ac6-2424-424d-ab26-513c648854d3/1077b96d-1f39-45b4-9c16-e3be84282905_1653788884.jpeg?h=225&w=225
"Tesco British Semi Skimmed Milk 1.13L, 2 Pints",1.2,1.06,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/252207537,https://digitalcontent.api.tesco.com/v2/media/ghs/ffc9ba76-7135-46db-8bd6-0e1647bca502/7aa4d3c0-82a9-4818-80c7-20b3c165a042.jpeg?h=225&w=225
Tesco Sweet Peppers 500G,1.79,3.58,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/295673143,https://digitalcontent.api.tesco.com/v2/media/ghs/2c8286a8-29dc-4697-8a3a-55f700d7b52f/d5034355-f6bd-4f52-9da9-a392c8688cf0.jpeg?h=225&w=225
Tesco Whole Cucumber Each,0.89,0.89,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/253558972,https://digitalcontent.api.tesco.com/v2/media/ghs/2f083c47-2417-48c1-8dff-87df07d72c87/44597dff-c9ec-48e4-af84-7aa4b790bf87.jpeg?h=225&w=225
Tesco Raspberries 150G,2.0,13.33,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/287377667,https://digitalcontent.api.tesco.com/v2/media/ghs/073d2a89-23b6-46a3-82fc-1213b96a5dec/6b931ee1-fc56-4e72-b682-36d8d39a8784.jpeg?h=225&w=225
Tesco Orange Juice Smooth 1 Litre,1.75,1.8,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/254859516,https://digitalcontent.api.tesco.com/v2/media/ghs/2d1ce72f-3b6a-4293-87de-cca1c66c74b7/a440ef1f-8074-4e23-bd7d-2d5175cefd63_1562946140.jpeg?h=225&w=225
Tesco Ripe & Ready Twin Pack Avocados,1.6,0.8,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/265299741,https://digitalcontent.api.tesco.com/v2/media/ghs/e3f6ee82-a36c-4414-b3c1-b32363b3e1b2/eff8c0fa-ff0a-4bad-9a93-7e4b186fe9dc.jpeg?h=225&w=225
Tesco Brown Onions Minimum 3 Pack 385G,0.95,2.47,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/281426090,https://digitalcontent.api.tesco.com/v2/media/ghs/0f7c9c61-b752-4cd2-be90-09f26124f868/119337f4-a071-4441-88ca-812692eaacf8.jpeg?h=225&w=225
"Tesco British Skimmed Milk 2.272L, 4 Pints",1.45,0.64,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/254656508,https://digitalcontent.api.tesco.com/v2/media/ghs/abde39ef-330b-447e-9bb5-f15329af842c/f00e26e5-e15d-4571-88f0-edcf96cef5bf.jpeg?h=225&w=225
Tesco Strawberries 227G,2.25,9.91,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/272202380,https://digitalcontent.api.tesco.com/v2/media/ghs/cf31c7bb-785c-447f-8fa6-24e20d1de6e1/86d86841-afba-45b6-a480-7b02f94bb9d0.jpeg?h=225&w=225
Tesco Bunched Spring Onions 100G,0.69,6.9,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/281035500,https://digitalcontent.api.tesco.com/v2/media/ghs/91e6a00d-7dd5-4250-a273-1d277276e3fd/ad08faaa-2beb-4e51-af85-67d8ec71310e.jpeg?h=225&w=225
"Tesco British Semi Skimmed Milk 2.272L, 4 Pints",1.45,0.64,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/254656543,https://digitalcontent.api.tesco.com/v2/media/ghs/a9c99906-fa46-472d-bf6b-c041d151b020/2165ab93-803a-4705-9395-3546f13fbbc6.jpeg?h=225&w=225
Tesco Chestnut Vitamin D Mushrooms 250G,1.1,4.4,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/273796618,https://digitalcontent.api.tesco.com/v2/media/ghs/a0871034-ecda-4035-ab57-ac521c864a5f/3e414453-da6a-4e45-82d9-07093702fc98.jpeg?h=225&w=225
Tesco Clementine Or Sweet Easy Peeler Pack 600G,1.19,1.98,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/266499399,https://digitalcontent.api.tesco.com/v2/media/ghs/5642abf4-fbca-4a13-a0c9-ed7b1033076a/58d80a70-ec75-4433-9197-365c51eecb7a.jpeg?h=225&w=225
Tesco Iceberg Lettuce Each,0.89,0.89,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/253557495,https://digitalcontent.api.tesco.com/v2/media/ghs/2962c7d5-c10e-4a1e-9265-5aa94b2919bc/42cb2cd0-eb31-4a2f-acde-1f24434a5868.jpeg?h=225&w=225
Tesco Carrots 1Kg,0.69,0.69,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/305953125,https://digitalcontent.api.tesco.com/v2/media/ghs/93955486-0104-4e9d-adf7-c2c5db17a059/9c887cc8-53dd-41be-86b7-23c361356b49.jpeg?h=225&w=225
Tesco Lemons Each,0.3,0.3,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/253556398,https://digitalcontent.api.tesco.com/v2/media/ghs/97623ba5-40c6-4591-99d9-4dda73511919/3443d8a1-42b6-4a43-ae3f-9b6b376caf43.jpeg?h=225&w=225
Tesco Red Peppers Each,0.59,0.59,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/258421636,https://digitalcontent.api.tesco.com/v2/media/ghs/d5ab2cc4-3d0b-484e-84d1-0ea5c059e840/3e500982-423b-4201-a32d-0ea47209e7b7.jpeg?h=225&w=225
Tesco Bananas Loose,0.16,0.9,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/275280804,https://digitalcontent.api.tesco.com/v2/media/ghs/abc68088-a5ed-49b1-931e-9789e60b3b80/dd80aa12-be6c-4111-b147-224d4eb51473.jpeg?h=225&w=225
Tesco Red Seedless Grapes 500G,2.0,4.0,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/260138854,https://digitalcontent.api.tesco.com/v2/media/ghs/5e50bd5f-eadf-44ba-a2f0-a25e5d7abd6d/89918863-daac-47d2-8826-24869d79376f.jpeg?h=225&w=225
Tesco Small Bananas 6 Pack,0.75,0.12,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/285157326,https://digitalcontent.api.tesco.com/v2/media/ghs/9fc9bc1f-f3b7-4dd4-93dd-e7218e845653/d624c150-f449-452b-b9fd-cbebb056249f.jpeg?h=225&w=225
